"id","iso","country","score","eh","ev","eh_hi","eh_aq","eh_ws","ev_wr","ev_ag","ev_fo","ev_fi","ev_bd","ev_ce","eh_hi_child_mortality","eh_aq_household_air_quality","eh_aq_exposure_pm25","eh_aq_exceedance_pm25","eh_ws_access_to_sanitation","eh_ws_access_to_drinking_water","ev_wr_wastewater_treatment","ev_ag_agricultural_subsidies","ev_ag_pesticide_regulation","ev_fo_change_in_forest_cover","ev_fi_fish_stocks","ev_fi_coastal_shelf_fishing_pressure","ev_bd_terrestrial_protected_areas_national_biome","ev_bd_terrestrial_protected_areas_global_biome","ev_bd_marine_protected_areas","ev_bd_critical_habitat_protection","ev_ce_trend_in_carbon_intensity","ev_ce_change_of_trend_in_carbon_intensity","ev_ce_trend_in_co2_emissions_per_kwh","access_to_electricity","year"
84,"KZ","Kazakhstan",51.07,75.4,34.85,66.8,95.92,63.48,30.5,37.13,74.82,0,14.11,43.49,66.8,91,100,96.76,70.62,56.33,30.5,22.26,52,74.82,0,0,14.11,19.58,0,0,29.46,39.81,59.37,100,2014
85,"CO","Colombia",50.77,66.01,40.62,63,95.09,39.92,4.6,52.51,26.24,32.46,80.4,43.49,63,86,100,99.28,29.91,49.94,4.6,13.01,92,26.24,9.5,55.42,89.25,77.22,99.14,56,64.68,36.3,48.1,97,2014
86,"RO","Romania",50.52,61.85,42.96,85.36,68.88,31.32,13.05,72.13,45.05,0,63.51,62.82,85.36,83,75.43,48.2,24.66,37.99,13.05,52.27,92,45.05,0,0,40.13,51.12,99.26,0,90,60.61,51.58,100,2014
87,"BO","Bolivia",50.48,53.95,48.17,48.63,88.77,24.46,11.3,64,11.77,0,81.04,63.57,48.63,71,100,95.32,10.37,38.56,11.3,100,28,11.77,0,0,95.73,91.7,0,43,0,90,11.28,80,2014
88,"BZ","Belize",50.46,79.76,30.93,80.78,96,62.49,2.28,92,4.69,0,98.58,2.59,80.78,88,100,100,46,78.99,2.28,100,84,4.69,0,0,99.93,99.67,96.15,0,83.28,0,0,88,2014
89,"MK","Macedonia",50.41,78.26,31.84,100,64.26,70.51,3.74,94,25.34,0,27.54,54.41,100,67,76.87,48.92,49.19,91.82,3.74,100,88,25.34,0,0,27.54,46.85,0,0,90,53.19,53.4,99,2014
90,"NI","Nicaragua",50.32,59.9,43.93,74.66,81.88,23.16,8.4,88,0,28.11,91.67,46.82,74.66,46,100,99.64,12.86,33.46,8.4,100,76,0,21.57,34.66,91.1,91.91,92.01,0,51.87,37.24,65.96,74,2014
91,"LB","Lebanon",50.15,85.94,26.29,91.77,77.34,88.69,15.08,90,74.82,0,1.71,40.43,91.77,100,78.43,53.6,77.38,100,15.08,100,80,74.82,0,0,2.56,2.56,0,0,68.34,12.17,56.53,100,2014
92,"DZ","Algeria",50.08,70.51,36.45,66.12,99.28,46.13,34.64,94,26.24,23.71,34.86,37.53,66.12,100,100,97.84,60.39,31.87,34.64,100,88,26.24,12.62,34.8,37.12,19.43,48.04,0,26.2,28.62,55.48,99,2014
93,"AR","Argentina",49.55,86.8,24.72,85.07,99.64,75.7,11.75,96,0,15.68,44.88,16.79,85.07,100,100,98.92,65.27,86.12,11.75,100,92,0,17.74,13.61,29.1,35.9,64.53,50,13.6,22.06,11.47,88,2014
94,"ZW","Zimbabwe",49.54,46.42,51.62,43.76,78,17.5,14.03,56,23.64,0,99.52,0,43.76,34,100,100,8.02,26.99,14.03,100,12,23.64,0,0,99.74,98.96,0,100,0,0,0,37,2014
95,"UA","Ukraine",49.01,77.71,29.87,83.06,84.76,65.31,14.7,62.03,32.52,25.3,41.46,27.78,83.06,97,88.93,68.35,57.32,73.31,14.7,56.06,68,32.52,8.11,42.48,20.17,22.39,81.82,0,90,17.52,45.9,100,2014
96,"AG","Antigua and Barbuda",48.89,81.6,27.08,83.79,100,61.01,11.37,84,0,0,60.92,8.41,83.79,100,100,100,49.41,72.62,11.37,0,84,0,0,0,38,60.64,45.05,100,13.11,0,0,88,2014
97,"HN","Honduras",48.87,57.52,43.11,53.31,82.88,36.38,15.54,92,6.17,27.29,76.81,48.29,53.31,49,100,99.64,32.46,40.29,15.54,100,84,6.17,5.41,49.17,82.16,79.69,65.41,80,43.61,50.93,43.04,81,2014
